doi,all_authors,title,genre,published_date,year,journal_name,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa_normalized,oa_status_normalized,oa_host_type_normalized,oa_host_domain,doi_prefix,publisher_by_doiprefix
10.3917/reof.157.0235,Gaffard J.,Towards a Non-Walrasian Macroeconomics,journal-article,2018-01-01,2018,Revue de l'OFCE,0751-6614,False,False,CAIRN,Accès fermé,Closed,Accès fermé,,10.3917,CAIRN
10.1140/epjh/e2018-90061-5,Frisch U.,Editorial introduction to the special issue “Plasma physics in the 20th century as told by players”,journal-article,2018-11-30,2018,The European Physical Journal H,2102-6467,False,False,Springer Science and Business Media LLC,Accès ouvert,Bronze,Editeur,link.springer.com,10.1140,Springer Science and Business Media LLC
10.23919/EUSIPCO.2019.8902950,Richard C.|Richard C.,Joint unmixing-deconvolution algorithms for hyperspectral images,proceedings-article,2019-09-01,2019,2019 27th European Signal Processing Conference (EUSIPCO),,False,False,IEEE,Accès ouvert,Green,Archive ouverte,"hal.archives-ouvertes.fr,hal.archives-ouvertes.fr",10.23919,Institute of Electrical and Electronics Engineers (IEEE)
10.1109/CDC.2017.8264005,Hua M.|Hamel T.|Samson C.,Riccati nonlinear observer for velocity-aided attitude estimation of accelerated vehicles using coupled velocity measurements,proceedings-article,2017-12-01,2017,2017 IEEE 56th Annual Conference on Decision and Control (CDC),,False,False,IEEE,Accès ouvert,Green,Archive ouverte,"hal.archives-ouvertes.fr,hal.archives-ouvertes.fr",10.1109,Institute of Electrical and Electronics Engineers (IEEE)
10.1142/S0218127419501116,Lozi R.,Complex Canard Explosion in a Fractional-Order FitzHugh–Nagumo Model,journal-article,2019-07-01,2019,International Journal of Bifurcation and Chaos,0218-1274,False,False,World Scientific Pub Co Pte Lt,Accès fermé,Closed,Accès fermé,,10.1142,World Scientific Pub Co Pte Lt
10.1051/0004-6361/201730940,Ferrari C.,LOFAR MSSS: The scaling relation between AGN cavity power and radio luminosity at low radio frequencies,journal-article,2017-09-01,2017,Astronomy & Astrophysics,0004-6361,False,False,EDP Sciences,Accès ouvert,Bronze,Editeur et archive ouverte,"www.aanda.org,arxiv.org,ruj.uj.edu.pl,ui.adsabs.harvard.edu,uhra.herts.ac.uk,pure.rug.nl,repository.ubn.ru.nl,www.research.manchester.ac.uk,www.rug.nl,www.aanda.org",10.1051,EDP Sciences
10.1088/1361-6382/aa60eb,Christensen N.,Globally coherent short duration magnetic field transients and their effect on ground based gravitational-wave detectors,journal-article,2017-03-13,2017,Classical and Quantum Gravity,0264-9381,False,False,IOP Publishing,Accès ouvert,Green,Archive ouverte,arxiv.org,10.1088,IOP Publishing
10.1080/14786419.2016.1154054,Landreau A.,Normal phase HPLC-based activity profiling of non-polar crude plant extracts – acetylcholinesterase inhibiting guttiferones from Montrouziera cauliflora as a case study,journal-article,2016-04-26,2016,Natural Product Research,1478-6419,False,False,Informa UK Limited,Accès fermé,Closed,Accès fermé,,10.1080,Informa UK Limited
10.1007/978-3-319-31580-5_10,Dimca A.,Cohomology of the Milnor Fibre of a Hyperplane Arrangement with Symmetry,book-chapter,2016-01-01,2016,Configuration Spaces,2281-518X,False,False,Springer International Publishing,Accès fermé,Closed,Accès fermé,,10.1007,Springer Science and Business Media LLC
10.1080/14737159.2019.1611426,Hofman P.,Companion diagnostic tests for treatment of lung cancer patients: what are the current and future challenges?,journal-article,2019-05-04,2019,Expert Review of Molecular Diagnostics,1473-7159,False,False,Informa UK Limited,Accès fermé,Closed,Accès fermé,,10.1080,Informa UK Limited
10.1093/gji/ggx180,Agurto-Detzel H.,"Improving the characterization of the seismic source in Bebedouro, Paraná Basin, Brazil: further evidence of seismicity triggered by hydraulic stimulation in water wells",journal-article,2017-05-01,2017,Geophysical Journal International,0956-540X,False,False,Oxford University Press (OUP),Accès fermé,Closed,Accès fermé,,10.1093,
10.7554/eLife.54493,Wakkach A.|Madel M.B.|Boutin A.|Halper J.|Blin-Wakkach C.|Rouleau M.,Dissecting the phenotypic and functional heterogeneity of mouse inflammatory osteoclasts by the expression of Cx3cr1,journal-article,2020-05-13,2020,eLife,2050-084X,True,True,"eLife Sciences Publications, Ltd",Accès ouvert,Gold,Editeur et archive ouverte,"doi.org,europepmc.org,www.ncbi.nlm.nih.gov",10.7554,"eLife Sciences Publications, Ltd"
10.1016/j.jcp.2016.06.003,Zhang Y.|Masson R.,Coupling compositional liquid gas Darcy and free gas flows at porous and free-flow domains interface,journal-article,2016-09-01,2016,Journal of Computational Physics,0021-9991,False,False,Elsevier BV,Accès ouvert,Green,Archive ouverte,"hal.archives-ouvertes.fr,hal.archives-ouvertes.fr,hal.archives-ouvertes.fr",10.1016,Elsevier BV
10.1080/1350178X.2016.1172805,Brisset N.,Economics is not always performative: some limits for performativity,journal-article,2016-04-02,2016,Journal of Economic Methodology,1350-178X,False,False,Informa UK Limited,Accès fermé,Closed,Accès fermé,,10.1080,Informa UK Limited
